###############################
### NEW OR REORGANIZED TAGS ###
###############################

### EUROPE ##
## Continental Alliance
FRA	= "countries/WestEur.txt"
ARB	= "countries/MidEast.txt"
FWA	= "countries/WestEur.txt"
FCA	= "countries/WestEur.txt"
FLV	= "countries/WestEur.txt"
## British Commonwealth
ENG = "countries/WestEur.txt"

SAF = "countries/WestEur.txt"
## German States
GER	= "countries/WestEur.txt" 
WST	= "countries/WestEur.txt"
PRS	= "countries/WestEur.txt"
BAY = "countries/WestEur.txt"
WUR = "countries/WestEur.txt"
BAD = "countries/WestEur.txt"
SWA	= "countries/WestEur.txt" 
## Triple Monarchy
AUS	= "countries/WestEur.txt"
HUN = "countries/EastEur.txt"
ILY	= "countries/EastEur.txt"
## Mediterranean
ITA = "countries/WestEur.txt"
PAP = "countries/WestEur.txt"
DAL	= "countries/EastEur.txt"
GRE = "countries/EastEur.txt"
## Eastern Europe
RUS	= "countries/EastEur.txt"
POL	= "countries/EastEur.txt"
## Nordics
SWE	= "countries/WestEur.txt"
## Iberia
SPR = "countries/WestEur.txt"

### ASIA ###
## China
CHI = "countries/Asian.txt"
GXC = "countries/Asian.txt"

MAN = "countries/Asian.txt"

TIB = "countries/Asian.txt"
TAN = "countries/Asian.txt"
## Indonesia
INS = "countries/Asian.txt"
### MID EAST ###
## Anatolia
TUR = "countries/MidEast.txt"
KUR = "countries/MidEast.txt"
### AFRICAN ###
ETH = "countries/African.txt"
RHO = "countries/WestEur.txt"
TRN = "countries/WestEur.txt"
BOT = "countries/African.txt"
NGA = "countries/African.txt"
SIE = "countries/African.txt"

GOL = "countries/WestEur.txt"


CEN	= "countries/SouthAmerica.txt"
COS = "countries/SouthAmerica.txt"
NIC = "countries/SouthAmerica.txt"




SOV = "countries/Soviet Union.txt"
LUX	= "countries/Luxemburg.txt"
BEL	= "countries/Belgium.txt"
HOL	= "countries/Holland.txt"
CZE	= "countries/Czechoslovakia.txt"
LIT	= "countries/Lithuania.txt"
EST	= "countries/Estonia.txt"
LAT	= "countries/Latvia.txt"
ROM = "countries/Romania.txt"
YUG = "countries/Yugoslavia.txt"
SER = "countries/Serbia.txt"
SWI = "countries/Switzerland.txt"
ALB = "countries/Albania.txt"
NOR = "countries/Norway.txt" 
DEN = "countries/Denmark.txt"
BUL = "countries/Bulgaria.txt"
POR = "countries/WestEur.txt"
FIN = "countries/Finland.txt"
IRE = "countries/Ireland.txt"
AFG = "countries/Afghanistan.txt"
ARG = "countries/Argentina.txt"
AST = "countries/Australia.txt"
BHU = "countries/Bhutan.txt"
